name,block,room_num,min_cap,max_cap,room_teacher,supervisor,block_desc
10. The history of Chicken and Waffles,4,145,13,14,Weaver,Weaver,"4 Community 11:00-11:35"
11. Fashion & Sustainability: Save the World and Look Good Doing It!,4,203,13,14,Art Room,Thelen,"4 Community 11:00-11:35"
"12. The Definition of ""Whiteness"": An Exploration of South Asian American History",4,207,13,14,Page,Page,"4 Community 11:00-11:35"
13. The Struggle for Freedom: This History of Lynching in the United States,4,223,13,14,Slattery,Winter,"4 Community 11:00-11:35"
14. Two Steps: Creating Games for Elementary Students,4,225,13,14,Grimes,Grimes,"4 Community 11:00-11:35"
15. Fifa World Cup: Winners over time,4,228,13,14,Sauzet,Sauzet,"4 Community 11:00-11:35"
16. Alumni Careers in Healthcare,4,230,13,14,Arcaro,Barnett/Tomei,"4 Community 11:00-11:35"
17. What's The Big Deal About Representation?,4,231,13,14,Kellogg,McIver,"4 Community 11:00-11:35"
18. Flower Power: Make your own paper flowers and pressed-flower bookmarks!,4,232,13,14,Foster,Foster,"4 Community 11:00-11:35"
19. Bartholomew and the Oobleck: The reading and making of oobleck,4,233,13,14,Grunden,Grunden,"4 Community 11:00-11:35"
20. Decor-cake!,4,234,13,14,Chalifoux,Chalifoux,"4 Community 11:00-11:35"
21. Blue Milk and Cookies: A STAR WARS Experience,4,236,13,14,Rios,Rios,"4 Community 11:00-11:35"
22. Crocheting with Plarn,4,238,13,14,Schmitz,Schmitz,"4 Community 11:00-11:35"
23. Car Culture: Car Community in Raleigh & All Things Cars,4,240,13,14,Ricci,Ricci,"4 Community 11:00-11:35"
"1. HUGE, OVERLY-COMPLEX, ROBOTS! Exploring competitive robotics and its applications by driving robots.",5,112,13,14,Setubal,Koch,"5 Experience 11:40-12:15"
2. Writing and Wizards: why dungeons and dragons forms a useful creative writing outlet,5,114,13,14,"Felder, K","Felder, K","5 Experience 11:40-12:15"
3. Battle of the Cakes: Cake Decorating Competition,5,118,13,14,Drama Room,Rasnick,"5 Experience 11:40-12:15"
4. Nailed It: RCHS Edition!!!,5,130,13,14,Farlow,Farlow,"5 Experience 11:40-12:15"
5. Student Legislative Assembly: What's our State Government Up to?,5,134,13,14,Newmark,Newmark,"5 Experience 11:40-12:15"
6. Holy Guacamole! (WARNING: For Avocado Lovers Only),5,135,13,14,Martignoni,Montague,"5 Experience 11:40-12:15"
7. Snout to Tail and the Brain in Between: Intelligence Tests with My Therapy Dog,5,141,13,14,Caudill,Caudill,"5 Experience 11:40-12:15"
8. Healthy Snacks How To and Make Off,5,142,13,14,Hames,Hames,"5 Experience 11:40-12:15"
9. Scrub Sense: How to Make Body and Lip Scrubs,5,144,13,14,Russell,Russell,"5 Experience 11:40-12:15"
10. HANDmade Lemonade: An Exploration Into All Things Lemonade,5,145,13,14,Weaver,Weaver,"5 Experience 11:40-12:15"
11. Painting and Collage: Open Art Studio,5,203,13,14,Art Room,Thelen,"5 Experience 11:40-12:15"
"12. Color, Sparkle, Beads, Oh My!: Make Friendship Bracelets",5,207,13,14,Page,Page,"5 Experience 11:40-12:15"
13. Making Melodies: How to design your own Rap Beat,5,211,13,14,Gianini,Gianini,"5 Experience 11:40-12:15"
14. Yo! Come make Edible Cookie Dough!,5,223,13,14,Slattery,Winter,"5 Experience 11:40-12:15"
15. How to make Onigiri (Rice Balls),5,226,13,14,Hess,Hess,"5 Experience 11:40-12:15"
"16. Character Creation 101: Design your own character, regardless of experience!",5,227,13,14,Velasquez,Velasquez,"5 Experience 11:40-12:15"
17. Short Film Screening: How I Made my Own Animated FIlm,5,228,13,14,Sauzet,Sauzet,"5 Experience 11:40-12:15"
18. Cupcake decorating: learn different piping tips!,5,231,13,14,Kellogg,Kraft,"5 Experience 11:40-12:15"
19. Papa's Slimeria: Live out your middle school slime shop dreams!,5,233,13,14,Grunden,Grunden,"5 Experience 11:40-12:15"
20. We all Scream for Ice Cream! Learn to make Ice Cream in a Bag!,5,234,13,14,Chalifoux,Chalifoux,"5 Experience 11:40-12:15"
21. The History of Fortnite,5,236,13,14,Rios,Rios,"5 Experience 11:40-12:15"
"22. Bake me up, before you dough dough! (Making edible cookie dough)",5,239,13,14,Pedersen,Pedersen,"5 Experience 11:40-12:15"
23. How a sport captivated a nation: the history of American Football,5,240,13,14,Ricci,Ricci,"5 Experience 11:40-12:15"
